Número,Valor estimado,Modalidade,Publicação,Tipo,Objeto,Abertura,Situação,Secretaria
1301.01/2025-PE,158947.37,PREGÃO,2025-01-15,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS, MATERIAL PERMANENTE E INSUMOS DE USO VETERINÁRIO PARA O FUNCIONAMENTO DO CASTRAMÓVEL, JUNTO A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2025-02-07,FECHADA,SECRETARIA DE SAÚDE
1601.01/2025-SRP,23688577.09,PREGÃO,2025-01-17,MENOR PREÇO,REGISTRO DE PREÇO PARA FUTURA E EVENTUAIS AQUISIÇÕES DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE,2025-02-05,ABERTA,SECRETARIAS DIVERSAS
1001.01/2024-SRP,29731652.29,PREGÃO,2025-01-14,MENOR PREÇO,REGISTRO DE PREÇO PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAS DE LIMPEZA PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ,2025-01-30,ABERTA,SECRETARIAS DIVERSAS
1312.01/2024-CE,1333109.97,CONCORRÊNCIA,2024-12-17,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OS SERVIÇOS DE PAVIMENTAÇÃO DE ESTRADAS VICINAIS NO DISTRITO DE LAGOA DO CARNEIRO NO MUNICÍPIO DE ACARAÚ/CE, JUNTO A SECRETARIA DE INTRAESTRUTURA DE ACARAÚ/CE. CONVÊNIO N° 959402/2024 - MIDR.",2025-01-08,FECHADA,SECRETARIA DE INFRAESTRUTURA
1612.01/2024-SRP,5676604.55,PREGÃO,2024-12-18,MENOR PREÇO,"REGISTRO DE PREÇOS AQUISIÇÃO DE KITS DE LIVROS E MATERIAIS DIDÁTICOS PARA ALUNOS E PROFESSORES DA REDE MUNICIPAL DE ENSINO, JUNTO À SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",2025-01-03,FECHADA,SECRETARIA DE EDUCAÇÃO
0912.01/2024-PE,25537875.05,PREGÃO,2024-12-12,MENOR PREÇO,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AO ATENDIMENTO DOS PROGRAMAS DE DISTRIBUIÇÃO DE MERENDA ESCOLAR DA REDE PÚBLICA DE ENSINO DO MUNICÍPIO DE ACARAÚ/CE.,2024-12-27,FECHADA,SECRETARIA DE EDUCAÇÃO
2911.01/2024-SRP,8741125.6,PREGÃO,2024-12-03,MENOR PREÇO,REGISTRO DE PREÇOS PARA FUTURA E EVENTUAIS AQUISIÇÕES DE GÊNEROS ALIMENTÍCIOS PARA ATENDER ÀS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ.,2024-12-17,FECHADA,SECRETARIAS DIVERSAS
2511.01/2024-CE,12090368.4,CONCORRÊNCIA,2024-11-27,MENOR PREÇO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE COLETA E DESTINAÇÃO FINAL DE RESÍDUOS SÓLIDOS E LIMPEZA PÚBLICA URBANA DO MUNICÍPIO DE ACARAÚ/CE.,2024-12-16,FECHADA,SECRETARIA DE MEIO AMBIENTE
2211.01/2024-SRP,38286115.13,PREGÃO,2024-11-26,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FURURAS E EVENTUAIS AQUISIÇÕES DE MATERIAL MÉDICO-HOSPITALAR E MEDICAMENTOS PARA ATENDER AS NECESSIDADES DAS UNIDADES DE SAÚDE, VINCULADAS A SECRETARIA DA SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2024-12-13,FECHADA,SECRETARIA DE SAÚDE
2111.01/2024-PE,6869998.0,PREGÃO,2024-11-25,MENOR PREÇO,"AQUISIÇÃO DE MATERIAL PERMANENTE, COMPONENTES, PEÇAS E SUPRIMENTOS DE INFORMÁTICA PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE ACARAÚ/CE .",2024-12-11,FECHADA,SECRETARIAS DIVERSAS
1311.01/2024-SRP,4361668.05,PREGÃO,2024-11-18,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL PRESTAÇÃO DE SERVIÇOS DE ADORNAMENTO, ADEREÇAMENTO E PARAMENTAÇÃO DOS PRÉDIOS, RUAS, PRAÇAS EM PERÍODOS E TEMAS DIVERSOS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE TURISMO E CULTURA DO MUNICÍPIO DE ACARAU/CE",2024-12-04,FECHADA,SECRETARIA DE TURISMO E CULTURA
1411.01/2024-SRP,5991316.6,PREGÃO,2024-11-19,MENOR PREÇO,REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PERMANENTES (MOBILIÁRIO ESCOLAR E MATERIAL ESPORTIVO) PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.,2024-12-03,FECHADA,SECRETARIA DE EDUCAÇÃO
0711.01/2024-PE,547866.9,PREGÃO,2024-11-11,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS PARA A COZINHA INDUSTRIAL DO HOSPITAL DE TRAUMATOLOGIA E ORTOPEDIA DO MUNICÍPIO DE ACARAÚ/CE, ATRAVÉS DO SALDO DE RECURSO DE EMENDA PARLAMENTAR COM N° DA PROPOSTA 11278.643000/1220-14 E PORTARIA N° 3692 DE 30 DE SETEMBRO DE 2022.",2024-11-26,FECHADA,SECRETARIA DE SAÚDE
0411.01/2024-PE,1973206.84,PREGÃO,2024-11-06,MENOR PREÇO,AQUISIÇÃO DE MATERIAL ESPORTIVO PARAR ATENDER ÀS NECESSIDADES DA SECRETARIA DE DESPORTO E JUVENTUDE DO MUNICÍPIO DE ACARAÚ/CE.,2024-11-22,FECHADA,SECRETARIA DE ESPORTE E JUVENTUDE
2509.01/2024-PE,3039933.32,PREGÃO,2024-09-30,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E NO FORNECIMENTO DE KITS ESCOLARES DESTINADOS AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",2024-10-11,FECHADA,SECRETARIA DE EDUCAÇÃO
2009.01/2024-PE,157435.62,PREGÃO,2024-09-24,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA O HOSPITAL MUNICIPAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE AO SEGUNDO TERMO DE ADITIVO DO PLANO DE TRABALHO MAPP Nº 5044 E CONVÊNIO N° 182/2022 -SESA, JUNTO À SECRETARIA MUNICIPAL DA SAÚDE DE ACARAÚ.VENTILADOR PULMONAR PARA TRANSPORTE.",2024-10-08,FECHADA,SECRETARIA DE SAÚDE
2808.01/2024-PE,746640.0,PREGÃO,2024-08-30,MENOR PREÇO,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAR SERVIÇOS DE CONFECÇÃO DE PRÓTESE DENTARIA (TIPO: PRÓTESE TOTAL SUPERIOR, PRÓTESE TOTAL INFERIOR, PRÓTESE PARCIAL REMOVÍVEL SUPERIOR, PRÓTESE PARCIAL REMOVÍVEL ÍNFERIOR), DE ACORDO COM PROGRAMA DO MINISTÉRIO DA SAÚDE PARA REABILITAÇÃO PROTÉTICA E ASSISTÊNCIA INTEGRAL EM SAÚDE BUCAL. INCLUINDO O MATERIAL PARA A FABRICAÇÃO, DESTINADO AS PESSOAS CARENTES DO MUNICÍPIO DE ACARAÚ-CE.",2024-09-19,FECHADA,SECRETARIA DE SAÚDE
2608.01/2024-PE,439919.88,PREGÃO,2024-08-29,MENOR PREÇO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE EQUIPAMENTOS PARA REALIZAÇÃO DOS EXAMES EM AMOSTRAS HUMANAS DO LABORATÓRIO MUNICIPAL DE ANALISES CLÍNICAS DE RESPONSABILIDADE DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAU/CE.,2024-09-17,FECHADA,SECRETARIA DE SAÚDE
2308.01/2024-PE,252812.77,PREGÃO,2024-08-28,MENOR PREÇO,"AQUISIÇÃO DE MATERIAIS LÚDICOS, EDUCATIVOS, ESPORTIVOS, TERAPÊUTICOS E ACESSÓRIOS DE FISIOTERAPIA PARA ATENDER ÀS NECESSIDADES DAS EQUIPES DO EMULTI NA ATENÇÃO PRIMÁRIA, CAPS E CLÍNICA DE FISIOTERAPIA DO MUNICÍPIO DE ACARAÚ/CE.",2024-09-13,FECHADA,SECRETARIA DE SAÚDE
2008.01/2024-PE,11824848.94,PREGÃO,2024-08-27,MENOR PREÇO,"AQUISIÇÃO DE INSTRUMENTAIS CIRÚRGICOS PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE - HOSPITAL DE ACARAÚ/CE, ATRAVÉS DO SALDO DE RECURSO DE EMENDA PARLAMENTAR COM N° DA PROPOSTA 11278.643000/1220-14 E PORTARIA N° 3692 DE 30 DE SETEMBRO DE 2022.",2024-09-11,FECHADA,SECRETARIA DE SAÚDE
1207.01/2024-PE,1214348.53,PREGÃO,2024-07-16,MENOR PREÇO,"AQUISIÇÃO DE MATERIAL PERMANENTE, A FIM DE ATENDER ÀS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL DE ACARAÚ.",2024-08-13,FECHADA,SECRETARIA DE ASSISTÊNCIA SOCIAL
2207.01/2024-PE,6375427.37,PREGÃO,2024-07-24,MENOR PREÇO,AQUISIÇÕES DE MATERIAIS PERMANENTES PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.,2024-08-09,FECHADA,SECRETARIA DE EDUCAÇÃO
1007.01/2024-CE,1343458.12,PREGÃO,2024-07-12,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE REFORMA E AMPLIAÇÃO DO ABATEDOURO PÚBLICO MUNICIPAL, NO MUNICÍPIO DE ACARAÚ/CE, CONVÊNIO 138/2024 SUPERINTENDÊNCIA DE OBRAS PÚBLICAS - SOP, MAPP: 2725.",2024-07-29,FECHADA,SECRETARIA DE INFRAESTRUTURA
0807.01/2024-PE,7006415.5,PREGÃO,2024-07-10,MENOR PREÇO,AQUISIÇÃO DE MEDICAMENTOS BÁSICOS (EXTRA PPI) PARA SUPRIR AS NECESSIDADES DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.,2024-07-25,FECHADA,SECRETARIA DE SAÚDE
0507.02/2024-PE,12626612.4,PREGÃO,2024-07-09,MENOR PREÇO,"CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA TERCEIRIZADA, DE FORMA CONTÍNUA, REGIDO PELA CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE EDUCAÇÃO DA PREFEITURA MUNICIPAL DE ACARAU/CE.",2024-07-24,FECHADA,SECRETARIA DE EDUCAÇÃO
2506.01/2024-PE,2099999.3,PREGÃO,2024-06-27,MENOR PREÇO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E FORNECIMENTO DE BANDEIRAS OFICIAIS E PRESTAÇÃO DE SERVIÇOS GRÁFICOS IMPRESSOS E COMUNICAÇÃO VISUAL PARA ATENDER AS DEMANDAS DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.,2024-07-12,REVOGADA,SECRETARIA DE EDUCAÇÃO
2106.02/2024-CE,3098370.27,CONCORRÊNCIA,2024-06-26,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO DE ESTRADAS VICINAIS NAS LOCALIDADES DE SANTA FÉ, CELSOLÂNDIA, MACAJUBA E VILA PROGRESSO, NO MUNICÍPIO DE ACARAÚ/CE, CONVÊNIO 099/2024 SUPERINTENDÊNCIA DE OBRAS PÚBLICAS - SOP, MAPP: 2507 - 2508.",2024-07-10,FECHADA,SECRETARIA DE INFRAESTRUTURA
2006.01/2024-PE,403229.5,PREGÃO,2024-06-25,MENOR PREÇO,"AQUISIÇÃO DE INSUMOS LABORATORIAIS E DE ANALISES CLÍNICAS, VISANDO ATENDER AS NECESSIDADES DO LABORATÓRIO DO MUNICÍPIO DE ACARAÚ/CE.",2024-07-09,FECHADA,SECRETARIA DE SAÚDE
1006.01/2024-CE,14281057.38,CONCORRÊNCIA,2024-06-12,MENOR PREÇO,"REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM CBUQ EM DIVERSAS LOCALIDADES DO MUNICÍPIO DE ACARAU, CONFORME ESPECIFICAÇÕES.",2024-07-05,FECHADA,SECRETARIA DE INFRAESTRUTURA
0606.01/2024-PE,3567845.5,PREGÃO,2024-06-11,MENOR PREÇO,"AQUISIÇÃO DE MATERIAL DE CONSUMO ODONTOLÓGICO, PARA ATENDER AS NECESSIDADES DAS EQUIPES DE SAÚDE BUCAL DA ATENÇÃO PRIMÁRIA, VINCULADAS A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",2024-06-25,FECHADA,SECRETARIA DE SAÚDE
2705.02/2024-PE,611860.5,PREGÃO,2024-05-29,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE ALIMENTAÇÃO PREPARADA COFFEE BREAK, ALMOÇO, QUENTINHAS E SERVIÇO DE BUFFET E DECORAÇÃO, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE DE ACARAÚ/CE.",2024-06-18,FECHADA,SECRETARIA DE SAÚDE
1605.03/2024-PE,749420.0,PREGÃO,2024-05-20,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO/ SERVIÇO BUFFET, INCLUINDO LANCHES, COFFEE BREAK, ALMOÇO E QUENTINHAS, VISANDO, ATENDER AS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL DE ACARAÚ.",2024-06-11,FECHADA,SECRETARIA DE ASSISTÊNCIA SOCIAL
1505.01/2024-PE,4378948.19,PREGÃO,2024-05-17,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA O HOSPITAL MUNICIPAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE AO SEGUNDO TERMO DE ADITIVO DO PLANO DE TRABALHO - MAPP N° 5044 E CONVÊNIO N° 182/2022 - SESA, JUNTO À SECRETARIA MUNICIPAL DA SAÚDE DE ACARAÚ.",2024-06-10,FECHADA,SECRETARIA DE SAÚDE
1705.01/2024-PE,190064.02,PREGÃO,2024-05-21,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES, A FIM DE ATENDER AS DEMANDAS DAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE. A AQUISIÇÃO DOS EQUIPAMENTOS SERÁ ATRAVÉS DO RECURSO DE EMENDA PARLAMENTAR COM N° DA PROPOSTA 11278643000124001 E PORTARIA N° 3720, DE 06 DE MAIO DE 2024.",2024-06-06,FECHADA,SECRETARIA DE SAÚDE
1005.02/2024-PE,247601.0,PREGÃO,2024-05-14,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES, A FIM DE ATENDER DEMANDA DAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE, ATRAVÉS DO SALDO DE RECURSOS DAS EMENDAS PARLAMENTARES COM PROPOSTAS DE N° 112786430001230-08, 112786430001230-09 E 112786430001230-07.",2024-06-03,FECHADA,SECRETARIA DE SAÚDE
1305.01/2024-PE,791814.14,PREGÃO,2024-05-15,MENOR PREÇO,"AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA O HOSPITAL MUNICIPAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE AO SEGUNDO TERMO DE ADITIVO DO PLANO DE TRABALHO - MAPP N° 5044 E CONVÊNIO N° 182/2022 - SESA, JUNTO À SECRETARIA MUNICIPAL DA SAÚDE DE ACARAÚ.",2024-05-29,FECHADA,SECRETARIA DE SAÚDE
0305.01/2024-PE,137201.0,PREGÃO,2024-05-07,MENOR PREÇO,AQUISIÇÃO DE UM VEÍCULO A FIM DE ATENDER ÀS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL DO MUNICÍPIO DE ACARAÚ/CE.,2024-05-20,FECHADA,SECRETARIA DE ASSISTÊNCIA SOCIAL
2404.01/2024-CE,212671.27,CONCORRÊNCIA,2024-04-29,MENOR PREÇO,"PRESTAÇÃO DE SERVIÇOS NA EXECUÇÃO DE INSTALAÇÃO DOS PAINÉIS DE ALARME PARA GASES MEDICINAIS E SISTEMAS DE CHAMADA DE LEITOS E CENTRAL, E INSTALAÇÃO DE MEDIDORES DE PRESSÃO E DAS RÉGUAS DO SISTEMA DE GASES DO NOVO HOSPITAL MUNICIPAL DE ACARAÚ.",2024-05-15,FECHADA,SECRETARIA DE SAÚDE
2304.01/2024-PE,403979.28,PREGÃO,2024-04-29,MENOR PREÇO,"AQUISIÇÃO DE FARDAMENTOS E ACESSÓRIOS PARA SERVIDORES DA GUARDA MUNICIPAL E DO DEMUTRAN, PARA ATENDER ÀS DEMANDAS DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ.",2024-05-13,FECHADA,SECRETARIA DE SEGURANÇA E TRÂNSITO
1704.01/2024-PE,152400.0,PREGÃO,2024-04-23,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE INFORMÁTICA PARA O FORNECIMENTO DE SISTEMA DE GESTÃO PÚBLICA COMPOSTO POR MÓDULOS INTEGRADOS E PROVIMENTO DE DATACENTER, CONFORME AS ESPECIFICAÇÕES CONTIDAS NESTE PROJETO BÁSICO, PARA ATENDIMENTO DE DEMANDAS DA SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E FINANÇAS.",2024-05-09,FECHADA,SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS
1804.01/2024-PE,8854031.9,PREGÃO,2024-04-22,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E NO FORNECIMENTO DE UNIFORMES ESCOLARES DESTINADOS AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE",2024-05-07,FECHADA,SECRETARIA DE EDUCAÇÃO
1204.01/2024-PE,370999.98,PREGÃO,2024-04-17,MENOR PREÇO,"CONTRATAÇÃO PARA PRESTAÇÃO DE SERVIÇO PARA IMPLEMENTAÇÃO DE DIRETRIZES DE GESTÃO ORGANIZACIONAL, APOIO ASSISTENCIAL E TÉCNICO, APOIO TERAPÊUTICO E DIAGNÓSTICO E ATENÇÃO AO PACIENTE.",2024-05-03,FECHADA,SECRETARIA DE SAÚDE
1104.01/2024-PE,61136.72,PREGÃO,2024-04-16,MENOR PREÇO,AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS PARA O MUNICÍPIO DE ACARAÚ PARA A IMPLANTAÇÃO DE NOVAS EQUIPES DE SAÚDE BUCAL NA ESTRATÉGIA SAÚDE DA FAMÍLIA.,2024-04-29,FECHADA,SECRETARIA DE SAÚDE
0804.01/2024-PE,2361834.5,PREGÃO,2024-04-11,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO/FORNECIMENTO DE GASES MEDICINAIS E EQUIPAMENTOS, DESTINADO A ATENDER AS NECESSIDADES DA ATENÇÃO PRIMÁRIA (UNIDADES BÁSICAS DE SAÚDE) E DA ATENÇÃO SECUNDÁRIA (PROGRAMA MELHOR EM CASA E AMBULÂNCIAS).",2024-04-25,FECHADA,SECRETARIA DE SAÚDE
0504.01/2024-PE,1914976.7,PREGÃO,2024-04-09,MENOR PREÇO,"AQUISIÇÃO DE KITS DE LIVROS E MATERIAIS DIDÁTICOS PARA ALUNOS E PROFESSORES DA REDE MUNICIPAL DE ENSINO, JUNTO À SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",2024-04-24,FECHADA,SECRETARIA DE EDUCAÇÃO
2212.02/2023-CP,3281900.31,CONCORRÊNCIA,2023-12-28,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS DE REQUALIFICAÇÕES URBANAS DE ESPAÇOS PÚBLICOS, JUNTO A SECRETARIA DE INTRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE, DE INTERESSE DA SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",2024-02-20,FECHADA,SECRETARIA DE INFRAESTRUTURA
2112.01/2023-CP,4806115.32,CONCORRÊNCIA,2023-12-28,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NAS RUAS DA SEDE DO MUNICÍPIO, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",2024-02-16,ABERTA,SECRETARIA DE INFRAESTRUTURA
2012.03/2023-CP,3895812.71,CONCORRÊNCIA,2023-12-28,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NAS RUAS DAS LOCALIDADES DE CROA GRANDE, BARRINHA DE CIMA, ARANAÚ, LAGOA DO MATO, LAGOA DA VOLTA, MORGADO, CARRAPATEIRAS E CASTELHANO, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICPIO DE ACARAÚ/CE.",2024-02-08,ABERTA,SECRETARIA DE INFRAESTRUTURA
