Número,"Valor estimado",Modalidade,Publicação,Tipo,Objeto,Abertura,Situação
1311.01/2024-SRP,"4.361.668,05",PREGÃO,18/11/2024,"MENOR PREÇO","REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL PRESTAÇÃO DE SERVIÇOS DE ADORNAMENTO, ADEREÇAMENTO E PARAMENTAÇÃO DOS PRÉDIOS, RUAS, PRAÇAS EM PERÍODOS E TEMAS DIVERSOS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE TURISMO E CULTURA DO MUNICÍPIO DE ACARAU/CE",04/12/2024,FECHADA
1411.01/2024-SRP,"5.991.316,60",PREGÃO,19/11/2024,"MENOR PREÇO","REGISTRO DE PREÇO VISANDO FUTURAS E EVENTUAIS AQUISIÇÕES DE MATERIAIS PERMANENTES (MOBILIÁRIO ESCOLAR E MATERIAL ESPORTIVO) PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",03/12/2024,FECHADA
0711.01/2024-PE,"547.866,90",PREGÃO,11/11/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS PARA A COZINHA INDUSTRIAL DO HOSPITAL DE TRAUMATOLOGIA E ORTOPEDIA DO MUNICÍPIO DE ACARAÚ/CE, ATRAVÉS DO SALDO DE RECURSO DE EMENDA PARLAMENTAR COM N° DA PROPOSTA 11278.643000/1220-14 E PORTARIA N° 3692 DE 30 DE SETEMBRO DE 2022.",26/11/2024,FECHADA
0411.01/2024-PE,"1.973.206,84",PREGÃO,06/11/2024,"MENOR PREÇO","AQUISIÇÃO DE MATERIAL ESPORTIVO PARAR ATENDER ÀS NECESSIDADES DA SECRETARIA DE DESPORTO E JUVENTUDE DO MUNICÍPIO DE ACARAÚ/CE.",22/11/2024,FECHADA
2509.01/2024-PE,"3.039.933,32",PREGÃO,30/09/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E NO FORNECIMENTO DE KITS ESCOLARES DESTINADOS AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",11/10/2024,FECHADA
2009.01/2024-PE,"157.435,62",PREGÃO,24/09/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA O HOSPITAL MUNICIPAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE AO SEGUNDO TERMO DE ADITIVO DO PLANO DE TRABALHO MAPP Nº 5044 E CONVÊNIO N° 182/2022 -SESA, JUNTO À SECRETARIA MUNICIPAL DA SAÚDE DE ACARAÚ.VENTILADOR PULMONAR PARA TRANSPORTE.",08/10/2024,FECHADA
2808.01/2024-PE,"746.640,00",PREGÃO,30/08/2024,"MENOR PREÇO","CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAR SERVIÇOS DE CONFECÇÃO DE PRÓTESE DENTARIA (TIPO: PRÓTESE TOTAL SUPERIOR, PRÓTESE TOTAL INFERIOR, PRÓTESE PARCIAL REMOVÍVEL SUPERIOR, PRÓTESE PARCIAL REMOVÍVEL ÍNFERIOR), DE ACORDO COM PROGRAMA DO MINISTÉRIO DA SAÚDE PARA REABILITAÇÃO PROTÉTICA E ASSISTÊNCIA INTEGRAL EM SAÚDE BUCAL. INCLUINDO O MATERIAL PARA A FABRICAÇÃO, DESTINADO AS PESSOAS CARENTES DO MUNICÍPIO DE ACARAÚ-CE.",19/09/2024,FECHADA
2608.01/2024-PE,"439.919,88",PREGÃO,29/08/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE EQUIPAMENTOS PARA REALIZAÇÃO DOS EXAMES EM AMOSTRAS HUMANAS DO LABORATÓRIO MUNICIPAL DE ANALISES CLÍNICAS DE RESPONSABILIDADE DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAU/CE.",17/09/2024,FECHADA
2308.01/2024-PE,"252.812,77",PREGÃO,28/08/2024,"MENOR PREÇO","AQUISIÇÃO DE MATERIAIS LÚDICOS, EDUCATIVOS, ESPORTIVOS, TERAPÊUTICOS E ACESSÓRIOS DE FISIOTERAPIA PARA ATENDER ÀS NECESSIDADES DAS EQUIPES DO EMULTI NA ATENÇÃO PRIMÁRIA, CAPS E CLÍNICA DE FISIOTERAPIA DO MUNICÍPIO DE ACARAÚ/CE.",13/09/2024,FECHADA
2008.01/2024-PE,"11.824.848,94",PREGÃO,27/08/2024,"MENOR PREÇO","AQUISIÇÃO DE INSTRUMENTAIS CIRÚRGICOS PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE - HOSPITAL DE ACARAÚ/CE, ATRAVÉS DO SALDO DE RECURSO DE EMENDA PARLAMENTAR COM N° DA PROPOSTA 11278.643000/1220-14 E PORTARIA N° 3692 DE 30 DE SETEMBRO DE 2022.",11/09/2024,FECHADA
1207.01/2024-PE,"1.214.348,53",PREGÃO,16/07/2024,"MENOR PREÇO","AQUISIÇÃO DE MATERIAL PERMANENTE, A FIM DE ATENDER ÀS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL DE ACARAÚ.",13/08/2024,FECHADA
2207.01/2024-PE,"6.375.427,37",PREGÃO,24/07/2024,"MENOR PREÇO","AQUISIÇÕES DE MATERIAIS PERMANENTES PARA ATENDER A DEMANDA DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",09/08/2024,FECHADA
1007.01/2024-CE,"1.343.458,12",PREGÃO,12/07/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE REFORMA E AMPLIAÇÃO DO ABATEDOURO PÚBLICO MUNICIPAL, NO MUNICÍPIO DE ACARAÚ/CE, CONVÊNIO 138/2024 SUPERINTENDÊNCIA DE OBRAS PÚBLICAS - SOP, MAPP: 2725.",29/07/2024,FECHADA
0807.01/2024-PE,"7.006.415,50",PREGÃO,10/07/2024,"MENOR PREÇO","AQUISIÇÃO DE MEDICAMENTOS BÁSICOS (EXTRA PPI) PARA SUPRIR AS NECESSIDADES DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",25/07/2024,FECHADA
0507.02/2024-PE,"12.626.612,40",PREGÃO,09/07/2024,"MENOR PREÇO","CONTRATAÇÃO DE PESSOA JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA TERCEIRIZADA, DE FORMA CONTÍNUA, REGIDO PELA CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE EDUCAÇÃO DA PREFEITURA MUNICIPAL DE ACARAU/CE.",24/07/2024,FECHADA
2506.01/2024-PE,"2.099.999,30",PREGÃO,27/06/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E FORNECIMENTO DE BANDEIRAS OFICIAIS E PRESTAÇÃO DE SERVIÇOS GRÁFICOS IMPRESSOS E COMUNICAÇÃO VISUAL PARA ATENDER AS DEMANDAS DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",12/07/2024,REVOGADA
2106.02/2024-CE,"3.098.370,27",CONCORRÊNCIA,26/06/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DOS SERVIÇOS DE RECUPERAÇÃO DE ESTRADAS VICINAIS NAS LOCALIDADES DE SANTA FÉ, CELSOLÂNDIA, MACAJUBA E VILA PROGRESSO, NO MUNICÍPIO DE ACARAÚ/CE, CONVÊNIO 099/2024 SUPERINTENDÊNCIA DE OBRAS PÚBLICAS - SOP, MAPP: 2507 - 2508.",10/07/2024,FECHADA
2006.01/2024-PE,"403.229,50",PREGÃO,25/06/2024,"MENOR PREÇO","AQUISIÇÃO DE INSUMOS LABORATORIAIS E DE ANALISES CLÍNICAS, VISANDO ATENDER AS NECESSIDADES DO LABORATÓRIO DO MUNICÍPIO DE ACARAÚ/CE.",09/07/2024,FECHADA
1006.01/2024-CE,"14.281.057,38",CONCORRÊNCIA,12/06/2024,"MENOR PREÇO","REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM CBUQ EM DIVERSAS LOCALIDADES DO MUNICÍPIO DE ACARAU, CONFORME ESPECIFICAÇÕES.",05/07/2024,FECHADA
0606.01/2024-PE,"3.567.845,50",PREGÃO,11/06/2024,"MENOR PREÇO","AQUISIÇÃO DE MATERIAL DE CONSUMO ODONTOLÓGICO, PARA ATENDER AS NECESSIDADES DAS EQUIPES DE SAÚDE BUCAL DA ATENÇÃO PRIMÁRIA, VINCULADAS A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",25/06/2024,FECHADA
2705.02/2024-PE,"611.860,50",PREGÃO,29/05/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE ALIMENTAÇÃO PREPARADA COFFEE BREAK, ALMOÇO, QUENTINHAS E SERVIÇO DE BUFFET E DECORAÇÃO, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE DE ACARAÚ/CE.",18/06/2024,FECHADA
1605.03/2024-PE,"749.420,00",PREGÃO,20/05/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO/ SERVIÇO BUFFET, INCLUINDO LANCHES, COFFEE BREAK, ALMOÇO E QUENTINHAS, VISANDO, ATENDER AS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL DE ACARAÚ.",11/06/2024,FECHADA
1505.01/2024-PE,"4.378.948,19",PREGÃO,17/05/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA O HOSPITAL MUNICIPAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE AO SEGUNDO TERMO DE ADITIVO DO PLANO DE TRABALHO - MAPP N° 5044 E CONVÊNIO N° 182/2022 - SESA, JUNTO À SECRETARIA MUNICIPAL DA SAÚDE DE ACARAÚ.",10/06/2024,FECHADA
1705.01/2024-PE,"190.064,02",PREGÃO,21/05/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES, A FIM DE ATENDER AS DEMANDAS DAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE. A AQUISIÇÃO DOS EQUIPAMENTOS SERÁ ATRAVÉS DO RECURSO DE EMENDA PARLAMENTAR COM N° DA PROPOSTA 11278643000124001 E PORTARIA N° 3720, DE 06 DE MAIO DE 2024.",06/06/2024,FECHADA
1005.02/2024-PE,"247.601,00",PREGÃO,14/05/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES, A FIM DE ATENDER DEMANDA DAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE, ATRAVÉS DO SALDO DE RECURSOS DAS EMENDAS PARLAMENTARES COM PROPOSTAS DE N° 112786430001230-08, 112786430001230-09 E 112786430001230-07.",03/06/2024,FECHADA
1305.01/2024-PE,"791.814,14",PREGÃO,15/05/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAL PERMANENTE PARA O HOSPITAL MUNICIPAL ESPECIALIZADO DE ACARAÚ, EM CONFORMIDADE AO SEGUNDO TERMO DE ADITIVO DO PLANO DE TRABALHO - MAPP N° 5044 E CONVÊNIO N° 182/2022 - SESA, JUNTO À SECRETARIA MUNICIPAL DA SAÚDE DE ACARAÚ.",29/05/2024,FECHADA
0305.01/2024-PE,"137.201,00",PREGÃO,07/05/2024,"MENOR PREÇO","AQUISIÇÃO DE UM VEÍCULO A FIM DE ATENDER ÀS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL DO MUNICÍPIO DE ACARAÚ/CE.",20/05/2024,FECHADA
2404.01/2024-CE,"212.671,27",CONCORRÊNCIA,29/04/2024,"MENOR PREÇO","PRESTAÇÃO DE SERVIÇOS NA EXECUÇÃO DE INSTALAÇÃO DOS PAINÉIS DE ALARME PARA GASES MEDICINAIS E SISTEMAS DE CHAMADA DE LEITOS E CENTRAL, E INSTALAÇÃO DE MEDIDORES DE PRESSÃO E DAS RÉGUAS DO SISTEMA DE GASES DO NOVO HOSPITAL MUNICIPAL DE ACARAÚ.",15/05/2024,FECHADA
2304.01/2024-PE,"403.979,28",PREGÃO,29/04/2024,"MENOR PREÇO","AQUISIÇÃO DE FARDAMENTOS E ACESSÓRIOS PARA SERVIDORES DA GUARDA MUNICIPAL E DO DEMUTRAN, PARA ATENDER ÀS DEMANDAS DA SECRETARIA DE SEGURANÇA E TRÂNSITO DO MUNICÍPIO DE ACARAÚ.",13/05/2024,FECHADA
1704.01/2024-PE,"152.400,00",PREGÃO,23/04/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE INFORMÁTICA PARA O FORNECIMENTO DE SISTEMA DE GESTÃO PÚBLICA COMPOSTO POR MÓDULOS INTEGRADOS E PROVIMENTO DE DATACENTER, CONFORME AS ESPECIFICAÇÕES CONTIDAS NESTE PROJETO BÁSICO, PARA ATENDIMENTO DE DEMANDAS DA SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E FINANÇAS.",09/05/2024,FECHADA
1804.01/2024-PE,"8.854.031,90",PREGÃO,22/04/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO E NO FORNECIMENTO DE UNIFORMES ESCOLARES DESTINADOS AOS ALUNOS DA REDE MUNICIPAL DE ENSINO, JUNTO A SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE",07/05/2024,FECHADA
1204.01/2024-PE,"370.999,98",PREGÃO,17/04/2024,"MENOR PREÇO","CONTRATAÇÃO PARA PRESTAÇÃO DE SERVIÇO PARA IMPLEMENTAÇÃO DE DIRETRIZES DE GESTÃO ORGANIZACIONAL, APOIO ASSISTENCIAL E TÉCNICO, APOIO TERAPÊUTICO E DIAGNÓSTICO E ATENÇÃO AO PACIENTE.",03/05/2024,FECHADA
1104.01/2024-PE,"61.136,72",PREGÃO,16/04/2024,"MENOR PREÇO","AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS PARA O MUNICÍPIO DE ACARAÚ PARA A IMPLANTAÇÃO DE NOVAS EQUIPES DE SAÚDE BUCAL NA ESTRATÉGIA SAÚDE DA FAMÍLIA.",29/04/2024,FECHADA
0804.01/2024-PE,"2.361.834,50",PREGÃO,11/04/2024,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AQUISIÇÃO/FORNECIMENTO DE GASES MEDICINAIS E EQUIPAMENTOS, DESTINADO A ATENDER AS NECESSIDADES DA ATENÇÃO PRIMÁRIA (UNIDADES BÁSICAS DE SAÚDE) E DA ATENÇÃO SECUNDÁRIA (PROGRAMA MELHOR EM CASA E AMBULÂNCIAS).",25/04/2024,FECHADA
0504.01/2024-PE,"1.914.976,70",PREGÃO,09/04/2024,"MENOR PREÇO","AQUISIÇÃO DE KITS DE LIVROS E MATERIAIS DIDÁTICOS PARA ALUNOS E PROFESSORES DA REDE MUNICIPAL DE ENSINO, JUNTO À SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE ACARAÚ/CE.",24/04/2024,FECHADA
2212.02/2023-CP,"3.281.900,31",CONCORRÊNCIA,28/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS DE REQUALIFICAÇÕES URBANAS DE ESPAÇOS PÚBLICOS, JUNTO A SECRETARIA DE INTRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE, DE INTERESSE DA SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",20/02/2024,FECHADA
2112.01/2023-CP,"4.806.115,32",CONCORRÊNCIA,28/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NAS RUAS DA SEDE DO MUNICÍPIO, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE ACARAÚ/CE.",16/02/2024,ABERTA
2012.03/2023-CP,"3.895.812,71",CONCORRÊNCIA,28/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NAS RUAS DAS LOCALIDADES DE CROA GRANDE, BARRINHA DE CIMA, ARANAÚ, LAGOA DO MATO, LAGOA DA VOLTA, MORGADO, CARRAPATEIRAS E CASTELHANO, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICPIO DE ACARAÚ/CE.",08/02/2024,ABERTA
1912.02/2023-CP,"3.690.026,60",CONCORRÊNCIA,28/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NAS RUAS DAS LOCALIDADES DE TUCUNZEIROS, LAGOA DANTAS, CAJUEIRO DO BOI, LAGOA DO CARNEIRO, QUEIMADAS, TELHAS E SANTA FÉ, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICIPIO DE ACARAÚ/CE.",06/02/2024,FECHADA
1812.02/2023-CP,"3.590.253,43",CONCORRÊNCIA,28/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSCA NAS RUAS DAS LOCALIDADES DE CAUASSU, CURRAL VELHO, ILHA DOS COQUEIROS, ILHA DOS RATOS, ESPRAIADO, CACHORRO SECO, CPRREGO DA ROLA E JURITIANHA, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICPIO DE ACARAÚ/CE.",01/02/2024,FECHADA
2212.01/2023-CP,"4.445.898,20",CONCORRÊNCIA,28/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PEDRA TOSTA DAS LOCALIDADES DE GROLADO, CORREGO DAS VARAS, MACAJUBA E CELSOLÂNCIA, JUNTO A SECRETARIA DE INFRAESTREUTURA DO MUNICÍPIO DE ACARAÚ/CE.",30/01/2024,FECHADA
2012.02/2023SRP,"1.138.800,00",PREGÃO,28/12/2023,"MENOR PREÇO","REGISTRO DE PREÇO PARA FUTURAS E EVENTUAIS AQUISIÇÕES DE AMBULÂNCIAS TIPO D - SUPORTE AVANÇADO A VIDA TIPO FURGÃO, JUNTO A SECRETARIA DE SAÚDE DO MUNICÍPIO DE ACARAÚ/CE.",23/01/2024,FECHADA
1512.01/2023-CP,"3.577.934,01",CONCORRÊNCIA,21/12/2023,"MENOR PREÇO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA URBANIZAÇÃO EM FRENTE AO ESTÁDIO MAJOR BIÃO, URBANIZAÇÃO NA PRAIA DA VOLTA DO RIO E PAVIMENTAÇÕES EM PEDRA TOSCA, JUNTO A SECRETARIA DE INFRAESTRUTURA NO MUNICÍPIO DE ACARAÚ/CE.",23/01/2024,FECHADA
